manager,player,team,position,slot,player_normalized,nflverse_player_id,nflverse_name,nflverse_team,nflverse_position,match_method,match_confidence
Vader's Raiders,Baker Mayfield,TB,QB,QB,baker mayfield,00-0034855,Baker Mayfield,,QB,exact,100.0
Vader's Raiders,Jonathan Taylor,Ind,RB,RB,jonathan taylor,00-0036223,Jonathan Taylor,,RB,exact,100.0
Vader's Raiders,Cam Skattebo,NYG,RB,RB,cam skattebo,00-0040715,Cam Skattebo,,RB,exact,100.0
Vader's Raiders,Emeka Egbuka,TB,WR,WR,emeka egbuka,00-0040129,Emeka Egbuka,,WR,exact,100.0
Vader's Raiders,Luther Burden III,Chi,WR,WR,luther burden,00-0040735,Luther Burden III,,WR,exact,100.0
Vader's Raiders,Michael Mayer,LV,TE,TE,michael mayer,00-0039066,Michael Mayer,,TE,exact,100.0
Vader's Raiders,Jadarian Price,Sea,RB,W/R/T,jadarian price,00-0041512,Jadarian Price,,RB,exact,100.0
Vader's Raiders,Cairo Santos,Chi,K,K,cairo santos,00-0031203,Cairo Santos,,K,exact,100.0
Vader's Raiders,Patriots,NE,DEF,DEF,patriots,,,NE,DEF,team_defense,100.0
Vader's Raiders,Brock Bowers,LV,TE,BN,brock bowers,00-0039338,Brock Bowers,,TE,surname_initial_position,94.0
Vader's Raiders,Alec Pierce,Ind,WR,BN,alec pierce,00-0037664,Alec Pierce,,WR,exact,100.0
Vader's Raiders,Michael Pittman,Pit,WR,BN,michael pittman,00-0036252,Michael Pittman,,WR,surname_initial_position,94.0
Vader's Raiders,Malik Willis,Mia,QB,BN,malik willis,00-0038128,Malik Willis,,QB,exact,100.0
Vader's Raiders,Dontayvion Wicks,Phi,WR,BN,dontayvion wicks,00-0038393,Dontayvion Wicks,,WR,exact,100.0
Vader's Raiders,Caleb Douglas,Mia,WR,BN,caleb douglas,00-0041523,Caleb Douglas,,WR,exact,100.0
Vader's Raiders,Jordan MasonIR,Min,RB,IR,jordan masonir,00-0037525,Jordan Mason,,RB,fuzzy_name,92.3
Belichick Yo'self,Dak Prescott,Dal,QB,QB,dak prescott,00-0033077,Dak Prescott,,QB,exact,100.0
Belichick Yo'self,Christian McCaffrey,SF,RB,RB,christian mccaffrey,00-0033280,Christian McCaffrey,,RB,exact,100.0
Belichick Yo'self,TreVeyon Henderson,NE,RB,RB,treveyon henderson,00-0040734,TreVeyon Henderson,,RB,exact,100.0
Belichick Yo'self,George Pickens,Dal,WR,WR,george pickens,00-0037247,George Pickens,,WR,exact,100.0
Belichick Yo'self,Deebo Samuel Sr.,SF,WR,WR,deebo samuel,00-0035719,Deebo Samuel Sr.,,WR,exact,100.0
Belichick Yo'self,Kyle Pitts Sr.,Atl,TE,TE,kyle pitts,00-0036970,Kyle Pitts,,TE,exact,100.0
Belichick Yo'self,Matthew Golden,GB,WR,W/R/T,matthew golden,00-0040667,Matthew Golden,,WR,exact,100.0
Belichick Yo'self,Jake Bates,Det,K,K,jake bates,00-0039172,Jake Bates,,K,exact,100.0
Belichick Yo'self,Chargers,LAC,DEF,DEF,chargers,,,LAC,DEF,team_defense,100.0
Belichick Yo'self,Zay Flowers,Bal,WR,BN,zay flowers,00-0039064,Zay Flowers,,WR,surname_initial_position,94.0
Belichick Yo'self,Rico Dowdle,Pit,RB,BN,rico dowdle,00-0036139,Rico Dowdle,,RB,exact,100.0
Belichick Yo'self,Jonathon Brooks,Car,RB,BN,jonathon brooks,00-0039344,Jonathon Brooks,,RB,exact,100.0
Belichick Yo'self,RJ Harvey,Den,RB,BN,rj harvey,00-0040730,RJ Harvey,,RB,surname_initial_position,94.0
Belichick Yo'self,Rashid Shaheed,Sea,WR,BN,rashid shaheed,00-0037545,Rashid Shaheed,,WR,exact,100.0
Belichick Yo'self,Tyler Allgeier,Ari,RB,BN,tyler allgeier,00-0037263,Tyler Allgeier,,RB,exact,100.0
Belichick Yo'self,A.J. BrownIR,NE,WR,IR,a j brownir,00-0035676,A.J. Brown,,WR,fuzzy_name,90.0
CM Skunks,Brock Purdy,SF,QB,QB,brock purdy,00-0037834,Brock Purdy,,QB,exact,100.0
CM Skunks,Quinshon Judkins,Cle,RB,RB,quinshon judkins,00-0040784,Quinshon Judkins,,RB,exact,100.0
CM Skunks,Bucky Irving,TB,RB,RB,bucky irving,00-0039361,Bucky Irving,,RB,exact,100.0
CM Skunks,Jaxon Smith-Njigba,Sea,WR,WR,jaxon smith njigba,00-0038543,Jaxon Smith-Njigba,,WR,exact,100.0
CM Skunks,Nico Collins,Hou,WR,WR,nico collins,00-0036554,Nico Collins,,WR,surname_initial_position,94.0
CM Skunks,Tucker Kraft,GB,TE,TE,tucker kraft,00-0038996,Tucker Kraft,,TE,exact,100.0
CM Skunks,Ladd McConkey,LAC,WR,W/R/T,ladd mcconkey,00-0039915,Ladd McConkey,,WR,surname_initial_position,94.0
CM Skunks,Chase McLaughlin,TB,K,K,chase mclaughlin,00-0035358,Chase McLaughlin,,K,exact,100.0
CM Skunks,49ers,SF,DEF,DEF,49ers,,,SF,DEF,team_defense,100.0
CM Skunks,MarShawn Lloyd,GB,RB,BN,marshawn lloyd,00-0039811,MarShawn Lloyd,,RB,exact,100.0
